a,b
-3.0,69.7616958618164
-2.9,67.65643310546875
-2.8,65.82373809814453
-2.7,64.22542572021484
-2.6,62.81803512573242
-2.5,61.578819274902344
-2.4,60.4723014831543
-2.3,59.52942657470703
-2.2,58.71500778198242
-2.1,58.035430908203125
-2.0,57.45856857299805
-1.9,56.96250915527344
-1.8,56.563167572021484
-1.7,56.230621337890625
-1.6,55.958587646484375
-1.5,55.739288330078125
-1.4,55.56471633911133
-1.3,55.42552947998047
-1.2,55.3146858215332
-1.1,55.229427337646484
-1.0,55.16339874267578
-0.9,55.11448287963867
-0.8,55.08149337768555
-0.7,55.062679290771484
-0.6,55.05711364746094
-0.5,55.063926696777344
-0.4,55.08051681518555
-0.3,55.105316162109375
-0.2,55.135963439941406
-0.1,55.172874450683594
0.0,55.21478271484375
0.1,55.260780334472656
0.2,55.31015396118164
0.3,55.36219024658203
0.4,55.415740966796875
0.5,55.469696044921875
0.6,55.524288177490234
0.7,55.5794677734375
0.8,55.63606643676758
0.9,55.693450927734375
1.0,55.7511100769043
1.1,55.80867385864258
1.2,55.86552047729492
1.3,55.92222213745117
1.4,55.97942352294922
1.5,56.03647994995117
1.6,56.09322738647461
1.7,56.1501350402832
1.8,56.206668853759766
1.9,56.262939453125
2.0,56.318546295166016
2.1,56.37295913696289
2.2,56.42678451538086
2.3,56.47956466674805
2.4,56.53112030029297
2.5,56.581600189208984
2.6,56.63167190551758
2.7,56.68094253540039
2.8,56.728858947753906
2.9,56.77616500854492
3.0,56.823177337646484
3.1,56.86961364746094
3.2,56.915348052978516
3.3,56.960872650146484
3.4,57.00628662109375
3.5,57.0515251159668
3.6,57.096832275390625
3.7,57.1418342590332
3.8,57.18635940551758
3.9,57.230506896972656
4.0,57.27418899536133
4.1,57.317630767822266
4.2,57.36063766479492
4.3,57.40313720703125
4.4,57.4450569152832
4.5,57.486385345458984
4.6,57.52716064453125
4.7,57.56725311279297
4.8,57.60673522949219
4.9,57.64561080932617
5.0,57.683895111083984
5.1,57.72173309326172
5.2,57.75898361206055
5.3,57.795719146728516
5.4,57.83195495605469
5.5,57.867618560791016
5.6,57.90275192260742
5.7,57.937294006347656
5.8,57.97133255004883
5.9,58.00494384765625
6.0,58.03804016113281
6.1,58.070587158203125
6.2,58.10264205932617
6.3,58.13422393798828
6.4,58.16537094116211
6.5,58.19608688354492
6.6,58.226318359375
6.7,58.256103515625
6.8,58.2855224609375
6.9,58.31456756591797
7.0,58.34322738647461
7.1,58.37149429321289
7.2,58.399356842041016
7.3,58.42686080932617
7.4,58.454044342041016
7.5,58.48085403442383
7.6,58.50724411010742
7.7,58.53325653076172
7.8,58.558929443359375
7.9,58.58427047729492
8.0,58.60932922363281
8.1,58.634071350097656
8.2,58.65848922729492
8.3,58.68255615234375
8.4,58.70628356933594
8.5,58.729705810546875
8.6,58.75284957885742
8.7,58.77569580078125
8.8,58.79825210571289
8.9,58.82052993774414
9.0,58.842529296875
9.1,58.86426544189453
9.2,58.88568878173828
9.3,58.90685272216797
9.4,58.92776870727539
9.5,58.948421478271484
9.6,58.968807220458984
9.7,58.988948822021484
9.8,59.00885009765625
9.9,59.02851104736328
10.0,59.047943115234375
10.1,59.067142486572266
10.2,59.08610916137695
10.3,59.10482406616211
10.4,59.12331008911133
10.5,59.14156723022461
10.6,59.15961837768555
10.7,59.1774787902832
10.8,59.195133209228516
10.9,59.21257400512695
11.0,59.22980499267578
11.1,59.24686813354492
11.2,59.26372528076172
11.3,59.280418395996094
11.4,59.296905517578125
11.5,59.313201904296875
11.6,59.32933807373047
11.7,59.345314025878906
11.8,59.361114501953125
11.9,59.376747131347656
12.0,59.39219665527344
12.1,59.40748596191406
12.2,59.4226188659668
12.3,59.437583923339844
12.4,59.452396392822266
12.5,59.4670524597168
12.6,59.481571197509766
12.7,59.49592590332031
12.8,59.51011276245117
12.9,59.524169921875
13.0,59.538082122802734
13.1,59.551856994628906
13.2,59.56550216674805
13.3,59.579017639160156
13.4,59.592403411865234
13.5,59.60565948486328
13.6,59.61878204345703
13.7,59.63179016113281
13.8,59.6446647644043
13.9,59.657386779785156
14.0,59.66997528076172
14.1,59.682437896728516
14.2,59.69478988647461
14.3,59.70703887939453
14.4,59.719181060791016
14.5,59.73119354248047
14.6,59.74308776855469
14.7,59.75486755371094
14.8,59.766536712646484
14.9,59.77811050415039
15.0,59.78956985473633
