a,b
-10.0,81.06759643554688
-9.9,80.54374694824219
-9.8,80.04564666748047
-9.7,79.57296752929688
-9.6,79.09746551513672
-9.5,78.61017608642578
-9.4,78.11343383789062
-9.3,77.61983489990234
-9.2,77.13294219970703
-9.1,76.66792297363281
-9.0,76.23307800292969
-8.9,75.81179809570312
-8.8,75.41093444824219
-8.7,75.01802825927734
-8.6,74.62922668457031
-8.5,74.24871063232422
-8.4,73.87957763671875
-8.3,73.53205108642578
-8.2,73.21182250976562
-8.1,72.91434478759766
-8.0,72.6306381225586
-7.9,72.35828399658203
-7.8,72.08971405029297
-7.7,71.81745147705078
-7.6,71.54009246826172
-7.5,71.26554107666016
-7.4,71.00128173828125
-7.3,70.74333190917969
-7.2,70.50012969970703
-7.1,70.26456451416016
-7.0,70.0279312133789
-6.9,69.80309295654297
-6.8,69.58690643310547
-6.7,69.38019561767578
-6.6,69.17794036865234
-6.5,68.9798355102539
-6.4,68.79328918457031
-6.3,68.62844848632812
-6.2,68.4820556640625
-6.1,68.34577178955078
-6.0,68.20813751220703
-5.9,68.08013153076172
-5.8,67.96166229248047
-5.7,67.85596466064453
-5.6,67.77081298828125
-5.5,67.70629119873047
-5.4,67.66403198242188
-5.3,67.6353530883789
-5.2,67.61742401123047
-5.1,67.60504913330078
-5.0,67.59562683105469
-4.95,67.59442138671875
-4.9,67.59453582763672
-4.85,67.59705352783203
-4.8,67.6004638671875
-4.75,67.609375
-4.7,67.62309265136719
-4.65,67.64069366455078
-4.6,67.66287231445312
-4.55,67.68771362304688
-4.5,67.71656799316406
-4.45,67.7452392578125
-4.4,67.7679672241211
-4.35,67.78919982910156
-4.3,67.81108093261719
-4.25,67.83444213867188
-4.2,67.86085510253906
-4.15,67.88813781738281
-4.1,67.91512298583984
-4.05,67.9471206665039
-4.0,67.98834991455078
-3.95,68.02179718017578
-3.9,68.0583724975586
-3.85,68.1021499633789
-3.8,68.14454650878906
-3.75,68.1800308227539
-3.7,68.21533966064453
-3.65,68.2177505493164
-3.6,68.22865295410156
-3.55,68.22647857666016
-3.5,68.22758483886719
-3.45,68.24205017089844
-3.4,68.25958251953125
-3.35,68.27212524414062
-3.3,68.2847900390625
-3.25,68.26278686523438
-3.2,68.24016571044922
-3.15,68.19287109375
-3.1,68.14814758300781
-3.05,68.10533905029297
-3.0,68.06049346923828
-2.95,68.01322174072266
-2.9,67.96939086914062
-2.85,67.92129516601562
-2.8,67.86914825439453
-2.75,67.8162612915039
-2.7,67.75275421142578
-2.65,67.6845474243164
-2.6,67.6106948852539
-2.55,67.52922821044922
-2.5,67.44239807128906
-2.45,67.35104370117188
-2.4,67.25389862060547
-2.35,67.14994812011719
-2.3,67.03404235839844
-2.25,66.90984344482422
-2.2,66.77869415283203
-2.15,66.64202880859375
-2.1,66.49760437011719
-2.05,66.34940338134766
-2.0,66.19564819335938
-1.95,66.03202056884766
-1.9,65.85963439941406
-1.85,65.68196868896484
-1.8,65.4981689453125
-1.75,65.30878448486328
-1.7,65.11495208740234
-1.65,64.91607666015625
-1.6,64.71611785888672
-1.55,64.5118179321289
-1.5,64.30493927001953
-1.45,64.09674072265625
-1.4,63.88650131225586
-1.35,63.67671585083008
-1.3,63.465919494628906
-1.25,63.25550079345703
-1.2,63.0462532043457
-1.15,62.83530807495117
-1.1,62.62221145629883
-1.05,62.39778137207031
-1.0,62.17317581176758
-0.95,61.948020935058594
-0.9,61.71974563598633
-0.85,61.49073028564453
-0.8,61.265281677246094
-0.75,61.04813766479492
-0.7,60.839622497558594
-0.65,60.63995361328125
-0.6,60.450096130371094
-0.55,60.269351959228516
-0.5,60.09952163696289
-0.49,60.06676483154297
-0.48,60.03449249267578
-0.47,60.00261688232422
-0.46,59.97144317626953
-0.45,59.93949890136719
-0.44,59.907135009765625
-0.43,59.87538146972656
-0.42,59.84410095214844
-0.41,59.81304168701172
-0.4,59.78228759765625
-0.39,59.7520637512207
-0.38,59.72239303588867
-0.37,59.693111419677734
-0.36,59.6643180847168
-0.35,59.63594055175781
-0.34,59.60811996459961
-0.33,59.58088302612305
-0.32,59.55419158935547
-0.31,59.52821350097656
-0.3,59.50287628173828
-0.29,59.47825241088867
-0.28,59.454376220703125
-0.27,59.430747985839844
-0.26,59.407928466796875
-0.25,59.385887145996094
-0.24,59.36466598510742
