a,b
-10.0,70.89981079101562
-9.9,70.51467895507812
-9.8,70.13946533203125
-9.7,69.75770568847656
-9.6,69.3951187133789
-9.5,69.05809020996094
-9.4,68.72886657714844
-9.3,68.4029312133789
-9.2,68.07725524902344
-9.1,67.7364730834961
-9.0,67.39449310302734
-8.9,67.10396575927734
-8.8,66.83120727539062
-8.7,66.54248046875
-8.6,66.25125885009766
-8.5,65.95811462402344
-8.4,65.64159393310547
-8.3,65.30523681640625
-8.2,64.99120330810547
-8.1,64.65604400634766
-8.0,64.35530853271484
-7.9,64.03365325927734
-7.8,63.724342346191406
-7.7,63.46582794189453
-7.6,63.207550048828125
-7.5,62.947261810302734
-7.4,62.712974548339844
-7.3,62.492828369140625
-7.2,62.27778625488281
-7.1,62.06526565551758
-7.0,61.85386276245117
-6.9,61.634456634521484
-6.8,61.357933044433594
-6.7,61.14551544189453
-6.6,60.95187759399414
-6.5,60.75944900512695
-6.4,60.56842803955078
-6.3,60.380374908447266
-6.2,60.198524475097656
-6.1,60.03837585449219
-6.0,59.95037841796875
-5.9,59.79598617553711
-5.8,59.629783630371094
-5.7,59.44961166381836
-5.6,59.21503448486328
-5.5,58.97998809814453
-5.4,58.8289909362793
-5.3,58.70145797729492
-5.2,58.72087860107422
-5.1,58.62942886352539
-5.0,58.52162551879883
-4.95,58.468509674072266
-4.9,58.41730499267578
-4.85,58.367774963378906
-4.8,58.3203125
-4.75,58.27383041381836
-4.7,58.22782516479492
-4.65,58.17852020263672
-4.6,58.12251281738281
-4.55,58.05373764038086
-4.5,57.933040618896484
-4.45,57.83073425292969
-4.4,57.7928352355957
-4.35,57.76258850097656
-4.3,57.73289489746094
-4.25,57.702537536621094
-4.2,57.66981506347656
-4.15,57.63783264160156
-4.1,57.60728073120117
-4.05,57.571590423583984
-4.0,57.5293083190918
-3.95,57.4913330078125
-3.9,57.460575103759766
-3.85,57.43278121948242
-3.8,57.41151809692383
-3.75,57.38941955566406
-3.7,57.368919372558594
-3.65,57.348087310791016
-3.6,57.31661605834961
-3.55,57.28660202026367
-3.5,57.26020431518555
-3.45,57.23451614379883
