a,b
-3.0,21.7566
-2.9,19.9317
-2.8,18.2902
-2.7,16.8054
-2.6,15.4553
-2.5,14.2223
-2.4,13.0916
-2.3,12.0507
-2.2,11.0893
-2.1,10.1985
-2.0,9.37072
-1.9,8.59948
-1.8,7.87911
-1.7,7.20471
-1.6,6.57198
-1.5,5.97715
-1.4,5.41689
-1.3,4.88826
-1.2,4.38865
-1.1,3.9157
-1.0,3.46734
-0.9,3.04168
-0.8,2.63703
-0.7,2.25188
-0.6,1.88484
-0.5,1.53466
-0.4,1.20019
-0.3,0.8804
-0.2,0.574343
-0.1,0.281147
0.0,0.000225343
0.1,0.269817
0.2,0.528954
0.3,0.778053
0.4,1.01769
0.5,1.24839
0.6,1.47065
0.7,1.68492
0.8,1.89163
0.9,2.09117
1.0,2.28391
1.1,2.47019
1.2,2.65033
1.3,2.82464
1.4,2.99338
1.5,3.15683
1.6,3.31523
1.7,3.4688
1.8,3.61778
1.9,3.76235
2.0,3.90272
2.1,4.03906
2.2,4.17155
2.3,4.30034
2.4,4.4256
2.5,4.54746
2.6,4.66606
2.7,4.78152
2.8,4.89398
2.9,5.00355
3.0,5.11034
3.1,5.21445
3.2,5.31598
3.3,5.41503
3.4,5.51168
3.5,5.60603
3.6,5.69816
3.7,5.78814
3.8,5.87604
3.9,5.96194
4.0,6.04591
4.1,6.12801
4.2,6.2083
4.3,6.28684
4.4,6.36368
4.5,6.43889
4.6,6.51252
4.7,6.58461
4.8,6.65521
4.9,6.72436
5.0,6.79212
5.1,6.85852
5.2,6.9236
5.3,6.9874
5.4,7.04996
5.5,7.11132
5.6,7.17151
5.7,7.23056
5.8,7.28851
5.9,7.34538
6.0,7.4012
6.1,7.45601
6.2,7.50983
6.3,7.56269
6.4,7.61461
6.5,7.66562
6.6,7.71574
6.7,7.765
6.8,7.81342
6.9,7.86101
7.0,7.9078
7.1,7.95381
7.2,7.99906
7.3,8.04357
7.4,8.08735
7.5,8.13043
7.6,8.17281
7.7,8.21452
7.8,8.25558
7.9,8.29599
8.0,8.33578
8.1,8.37495
8.2,8.41353
8.3,8.45152
8.4,8.48894
8.5,8.52579
8.6,8.56211
8.7,8.59789
8.8,8.63314
8.9,8.66789
9.0,8.70213
9.1,8.73589
9.2,8.76916
9.3,8.80197
9.4,8.83432
9.5,8.86621
9.6,8.89767
9.7,8.9287
9.8,8.9593
9.9,8.98949
10.0,9.01928
10.1,9.04866
10.2,9.07766
10.3,9.10628
10.4,9.13452
10.5,9.16239
10.6,9.18991
10.7,9.21707
10.8,9.24389
10.9,9.27036
11.0,9.29651
11.1,9.32232
11.2,9.34782
11.3,9.373
11.4,9.39787
11.5,9.42244
11.6,9.44671
11.7,9.47069
11.8,9.49438
11.9,9.51779
12.0,9.54092
12.1,9.56378
12.2,9.58637
12.3,9.60869
12.4,9.63076
12.5,9.65258
12.6,9.67415
12.7,9.69547
12.8,9.71655
12.9,9.7374
13.0,9.75801
13.1,9.77839
13.2,9.79854
13.3,9.81848
13.4,9.8382
13.5,9.8577
13.6,9.87699
13.7,9.89608
13.8,9.91496
13.9,9.93363
14.0,9.95212
14.1,9.9704
14.2,9.9885
14.3,10.0064
14.4,10.0241
14.5,10.0417
14.6,10.059
14.7,10.0762
14.8,10.0932
14.9,10.11
15.0,10.1267
10.0,9.01928
