a,b
-3.0,20.8386
-2.9,19.2
-2.8,17.7276
-2.7,16.3983
-2.6,15.1935
-2.5,14.098
-2.4,13.0996
-2.3,12.1878
-2.2,11.3541
-2.1,10.591
-2.0,9.89294
-1.9,9.2549
-1.8,8.67288
-1.7,8.14334
-1.6,7.66319
-1.5,7.2301
-1.4,6.8427
-1.3,6.49913
-1.2,6.19836
-1.1,5.9383
-1.0,5.71754
-0.9,5.53399
-0.8,5.38426
-0.7,5.2653
-0.6,5.17286
-0.5,5.10217
-0.4,5.04926
-0.3,5.01142
-0.2,4.9865
-0.1,4.97324
0.0,4.96997
0.1,4.97527
0.2,4.98788
0.3,5.00788
0.4,5.03482
0.5,5.06767
0.6,5.10587
0.7,5.14894
0.8,5.19655
0.9,5.2483
1.0,5.30395
1.1,5.36324
1.2,5.42581
1.3,5.4913
1.4,5.5593
1.5,5.62934
1.6,5.70112
1.7,5.77425
1.8,5.84845
1.9,5.92339
2.0,5.9988
2.1,6.07451
2.2,6.15032
2.3,6.22607
2.4,6.30165
2.5,6.37686
2.6,6.45157
2.7,6.5257
2.8,6.59912
2.9,6.67184
3.0,6.74375
3.1,6.81478
3.2,6.8849
3.3,6.95407
3.4,7.02226
3.5,7.0895
3.6,7.15577
3.7,7.22108
3.8,7.28542
3.9,7.34877
4.0,7.41114
4.1,7.47254
4.2,7.53299
4.3,7.5925
4.4,7.65107
4.5,7.70872
4.6,7.76543
4.7,7.82122
4.8,7.87611
4.9,7.93011
5.0,7.98326
5.1,8.03555
5.2,8.08702
5.3,8.13766
5.4,8.18749
5.5,8.23653
5.6,8.28478
5.7,8.33227
5.8,8.379
5.9,8.425
6.0,8.47027
6.1,8.51483
6.2,8.55871
6.3,8.60192
6.4,8.64445
6.5,8.68633
6.6,8.72757
6.7,8.76818
6.8,8.80818
6.9,8.84757
7.0,8.88638
7.1,8.92461
7.2,8.96227
7.3,8.99938
7.4,9.03596
7.5,9.07199
7.6,9.10751
7.7,9.14252
7.8,9.17702
7.9,9.21103
8.0,9.24456
8.1,9.27762
8.2,9.31022
8.3,9.34236
8.4,9.37407
8.5,9.40535
8.6,9.43619
8.7,9.46662
8.8,9.49664
8.9,9.52625
9.0,9.55547
9.1,9.5843
9.2,9.61276
9.3,9.64084
9.4,9.66856
9.5,9.69591
9.6,9.72292
9.7,9.74958
9.8,9.7759
9.9,9.80188
10.0,9.82754
10.1,9.85288
10.2,9.8779
10.3,9.90261
10.4,9.92702
10.5,9.95113
10.6,9.97495
10.7,9.99848
10.8,10.0217
10.9,10.0447
11.0,10.0674
11.1,10.0898
11.2,10.1119
11.3,10.1338
11.4,10.1555
11.5,10.1769
11.6,10.198
11.7,10.2189
11.8,10.2396
11.9,10.26
12.0,10.2802
12.1,10.3002
12.2,10.3199
12.3,10.3395
12.4,10.3588
12.5,10.3779
12.6,10.3968
12.7,10.4155
12.8,10.434
12.9,10.4523
13.0,10.4703
13.1,10.4882
13.2,10.5059
13.3,10.5235
13.4,10.5408
13.5,10.558
13.6,10.5749
13.7,10.5917
13.8,10.6084
13.9,10.6248
14.0,10.6411
14.1,10.6573
14.2,10.6732
14.3,10.689
14.4,10.7047
14.5,10.7202
14.6,10.7355
14.7,10.7507
14.8,10.7658
14.9,10.7807
15.0,10.7954
10.0,9.82754
